movieCd,movieNm,audiAcc
20196309,스파이더맨: 파 프롬 홈,6685143
20183867,알라딘,10161238
20184047,토이 스토리 4,3151062
20185353,기방도령,220182
20183782,기생충,9919835
20185986,진범,106756
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,101245
20199951,애나벨 집으로,459037
20196655,존 윅 3: 파라벨룸,913066
20192151,미드소마,45707
20198453,롱 리브 더 킹: 목포 영웅,1076588
20190273,천로역정: 천국을 찾아서,228365
20182585,비스트,199009
20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000
20192022,마담 싸이코,37437
20196657,맨 인 블랙: 인터내셔널,843649
20190885,사탄의 인형,46546
20182387,엑스맨: 다크 피닉스,860921
20190466,세상을 바꾼 변호인,31379
19880001,이웃집 토토로,142372
20191401,업사이드,30244
20198291,로켓맨,98703
20184889,어벤져스: 엔드게임,13887813
20188941,악인전,3346654
20184865,고질라: 킹 오브 몬스터,352862
20199063,빅샤크2: 해저2만리,44189
20188144,0.0MHz,133522
20184082,걸캅스,1618601
20199448,어린 의뢰인,193949
20198597,교회오빠,65399
20199822,더 보이,88514
20187981,배심원들,270270
20198598,명탐정 피카츄,680420
20185784,나의 특별한 형제,1462434
20198183,뽀로로 극장판 보물섬 대모험,752508
20185384,호텔 뭄바이,61163
20197503,서스페리아,19684
20197147,어글리 돌,50816
20169323,안도 타다오,25540
20183096,생일,1191113
20181877,캡틴 마블,5796057
20060347,판의 미로 - 오필리아와 세 개의 열쇠,482408
20199736,프렌즈: 둥지탈출,10185
20183454,요로나의 저주,197125
20180825,미성년,279305
20198982,크게 될 놈,90320
19990220,노팅 힐,49958
20176103,돈,3388756
20198104,바이스,131698
20185406,헬보이,311910
20182501,왓칭,46139
20198844,아이 엠 마더,83953
20196244,샤잠!,636971
20185352,어스,1450902
20197423,공포의 묘지,87134
20183773,장난스런 키스,390548
20198403,파이브 피트,67395
20196025,덤보,296253
20197092,로망,46938
20198146,콜레트,35223
20197846,악질경찰,254451
20175407,우상,175481
20166301,썬키스 패밀리,26086
20197483,1919 유관순,46858
20197283,이스케이프 룸,544462
20197356,라스트 미션,93476
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,24340
20197617,정글북: 마법 원정대,22534
20184574,그린 북,409871
20196601,항거:유관순 이야기,1143977
20182530,극한직업,16243231
20185881,증인,2519150
20177539,사바하,2389760
20196723,숲속왕국의 꿀벌 여왕,18305
20180937,더 페이버릿: 여왕의 여자,133508
20177282,리노,16489
20176442,자전차왕 엄복동,168884
20195743,신데렐라:마법 반지의 비밀,281705
20195791,"어쩌다, 결혼",70827
20186261,드래곤 길들이기 3,1498759
20188282,알리타: 배틀 엔젤,1946206
20195915,해피 데스데이 2 유,392397
20020222,해리포터와 비밀의 방,79301
20185576,콜드 체이싱,78303
20184888,메리 포핀스 리턴즈,199519
20174169,기묘한 가족,216254
20180868,뺑반,1821147
20162003,명탐정 코난:전율의 악보,83376
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,558144
20185444,레고 무비2,71030
20184105,말모이,2848736
20185124,러브 유어셀프 인 서울,342366
20184896,가버나움,87787
20176251,내안의 그놈,1910802
20189463,주먹왕 랄프 2: 인터넷 속으로,1754950
20182544,글래스,452460
20186324,언더독,176837
20185485,보헤미안 랩소디,9910706
20189385,몬스터 파크,30571
20180290,아쿠아맨,5019235
20183915,극장판 공룡메카드: 타이니소어의 섬,379569
20182588,미래의 미라이,77985
20186281,범블비,1553491
20170658,PMC: 더 벙커,1665200
20175547,스윙키즈,1462873
